lr-Adam,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-06,0,,,,,,,,,,,
,9,4.0,0.0435282327234745,0.9818000197410583,0.8063964247703552,0.9326825737953186,0.8578320145606995,4.266851902008057,309.0,34.02974319458008,38.34012222290039,0
,19,4.0,0.07865399867296219,0.9751499891281128,0.8137969970703125,0.7338474988937378,0.7674973011016846,4.604189872741699,211.0,3.527705669403076,8.210549354553223,0
,29,4.0,0.01633366011083126,0.9945499897003174,0.7784869074821472,0.711493968963623,0.7403364181518555,3.4672040939331055,60.0,0.8609597086906433,4.344497203826904,0
,39,4.0,0.04813317582011223,0.9829000234603882,0.8292133808135986,0.9167180061340332,0.8673915863037109,3.4267003536224365,239.0,45.87668991088867,49.351524353027344,0
,49,4.0,0.07070967555046082,0.9752500057220459,0.6347106099128723,0.6090423464775085,0.6204050779342651,3.8939552307128906,120.0,4.514172077178955,8.478837013244629,0
,59,4.0,0.03599557280540466,0.9864000082015991,0.748239278793335,0.86801677942276,0.7959513664245605,3.2618041038513184,161.0,10.633550643920898,13.931350708007812,0
,69,4.0,0.036422546952962875,0.9876000285148621,0.7929161787033081,0.7697327733039856,0.780826985836029,3.780808210372925,84.0,0.962678074836731,4.779908657073975,0
,79,4.0,0.06631416827440262,0.9760500192642212,0.8742977380752563,0.8575588464736938,0.8657122850418091,5.4478559494018555,358.0,8.001978874206543,13.516149520874023,0
,89,4.0,0.025521285831928253,0.9919000267982483,0.8474583029747009,0.8178352117538452,0.8319664001464844,5.03732967376709,106.0,0.8619672060012817,5.92481803894043,0
,99,4.0,0.0374392494559288,0.9855999946594238,0.8293778300285339,0.8352981805801392,0.8323100805282593,4.118563652038574,272.0,15.878698348999023,20.03470230102539,0
,109,4.0,0.032600149512290955,0.9876999855041504,0.807987630367279,0.8244390487670898,0.8159894943237305,3.8662939071655273,240.0,56.296226501464844,60.19512176513672,0
,119,4.0,0.028292449191212654,0.9888499975204468,0.7133500576019287,0.8123050928115845,0.7531977891921997,3.852299451828003,101.0,6.6288533210754395,10.509445190429688,0
,129,4.0,0.07667545974254608,0.9691500067710876,0.8794199228286743,0.8303747177124023,0.8529326915740967,5.112977504730225,351.0,8.674954414367676,13.864606857299805,0
,139,4.0,0.07277032732963562,0.9753000140190125,0.7182937860488892,0.6552461385726929,0.6810423731803894,5.144148826599121,366.0,7.871188163757324,13.088107109069824,0
,149,4.0,0.04347771406173706,0.9853000044822693,0.7646338939666748,0.7348186373710632,0.7487948536872864,4.068188667297363,137.0,5.359513282775879,9.471179962158203,0
,159,4.0,0.037324439734220505,0.984499990940094,0.6710175275802612,0.72921222448349,0.6956867575645447,4.406731605529785,114.0,0.8547831177711487,5.298839092254639,0
,169,4.0,0.04420028254389763,0.9832000136375427,0.7749254107475281,0.9005848169326782,0.8253084421157837,3.5733883380889893,182.0,5.624909400939941,9.242498397827148,0
,179,4.0,0.03613081946969032,0.9878000020980835,0.9045252799987793,0.8810402154922485,0.8924062252044678,4.2147626876831055,352.0,5.299173355102539,9.550066947937012,0
,189,4.0,0.06072667986154556,0.9744499921798706,0.7585935592651367,0.7131999135017395,0.7335329651832581,4.207555294036865,297.0,8.074941635131836,12.343223571777344,0
,199,4.0,0.027077939361333847,0.9902999997138977,0.7966674566268921,0.8803271651268005,0.8331319093704224,2.879403829574585,170.0,3.7278738021850586,6.634355545043945,0
,209,4.0,0.11505849659442902,0.9657999873161316,0.8524964451789856,0.6702444553375244,0.726458728313446,4.955256462097168,320.0,7.555891990661621,12.62620735168457,0
,219,4.0,0.03485030680894852,0.9873499870300293,0.7445164322853088,0.7744050621986389,0.7585651874542236,3.750549793243408,163.0,16.942094802856445,20.727495193481445,0
,229,4.0,0.05860918015241623,0.9793499708175659,0.8887183666229248,0.7992144823074341,0.8376277685165405,4.453485488891602,315.0,6.1821675300598145,10.69426155090332,0
,239,4.0,0.041013453155756,0.986050009727478,0.7519530653953552,0.90647292137146,0.8101975917816162,3.9482932090759277,235.0,13.181546211242676,17.170852661132812,0
,249,4.0,0.02277727983891964,0.9919499754905701,0.8090326189994812,0.7654898762702942,0.7855671644210815,4.083413600921631,92.0,1.500749111175537,5.606939792633057,0
,259,4.0,0.07940159738063812,0.9696499705314636,0.699852705001831,0.6531184911727905,0.6730899810791016,4.735610008239746,340.0,6.218364715576172,11.033376693725586,0
,269,4.0,0.05491877347230911,0.9803000092506409,0.8972972631454468,0.8698830604553223,0.8830432891845703,4.07652473449707,333.0,18.18707275390625,22.31851577758789,0
,279,4.0,0.04995947331190109,0.9802500009536743,0.853702187538147,0.7219430208206177,0.7717869281768799,4.950239658355713,206.0,2.104170322418213,7.104369640350342,0
,289,4.0,0.03211687132716179,0.9872000217437744,0.8780485391616821,0.8873230814933777,0.8826256394386292,4.695385932922363,250.0,13.524571418762207,18.2520751953125,0
,299,4.0,0.033125441521406174,0.9871000051498413,0.7795785665512085,0.7378353476524353,0.7569540739059448,3.5315334796905518,141.0,3.6239471435546875,7.188606262207031,0
,309,4.0,0.05325222760438919,0.9831500053405762,0.642081618309021,0.6714848875999451,0.6553306579589844,4.565009117126465,121.0,4.020806789398193,8.639068603515625,0
,319,4.0,0.03368411958217621,0.9917500019073486,0.8803852796554565,0.8682482838630676,0.8742143511772156,3.9301834106445312,209.0,7.530333518981934,11.494200706481934,0
,329,4.0,0.047818250954151154,0.9807000160217285,0.901756763458252,0.7852480411529541,0.832842230796814,5.514434337615967,357.0,9.356119155883789,14.918371200561523,0
,339,4.0,0.0741078183054924,0.9685999751091003,0.8197551965713501,0.7882915735244751,0.8031073808670044,4.656462669372559,356.0,11.574026107788086,16.304595947265625,0
,349,4.0,0.04191384091973305,0.9824000000953674,0.7835026979446411,0.9060618281364441,0.833115816116333,3.477574586868286,184.0,12.558334350585938,16.077823638916016,0
,359,4.0,0.035126715898513794,0.9858499765396118,0.8274722099304199,0.7995657920837402,0.8128650784492493,4.614868640899658,260.0,4.268011569976807,8.918006896972656,0
,369,4.0,0.04038141295313835,0.9846500158309937,0.7160166501998901,0.7356454133987427,0.7253842353820801,3.6173837184906006,111.0,1.0668715238571167,4.724636554718018,0
,379,4.0,0.023645207285881042,0.9925000071525574,0.8205598592758179,0.82355135679245,0.8220484852790833,4.1240434646606445,151.0,3.6554856300354004,7.8031744956970215,0
,389,4.0,0.03202735632658005,0.9887499809265137,0.9086201786994934,0.8828698992729187,0.895297646522522,3.9527640342712402,266.0,26.5202693939209,30.50506019592285,0
,399,4.0,0.028920337557792664,0.9916499853134155,0.8464301228523254,0.771284818649292,0.8041542768478394,3.4675631523132324,126.0,4.228093147277832,7.724576950073242,0
,409,4.0,0.047597549855709076,0.9829999804496765,0.7390841841697693,0.7263287305831909,0.7325223684310913,4.170680046081543,120.0,3.430624008178711,7.648901462554932,0
,419,4.0,0.04063500091433525,0.98580002784729,0.8255271911621094,0.8082334995269775,0.8166316747665405,3.9519495964050293,134.0,5.896347999572754,9.888933181762695,0
,429,4.0,0.0873032733798027,0.9748499989509583,0.8862388134002686,0.6961413621902466,0.7578326463699341,4.743913173675537,487.0,6.99659538269043,11.827812194824219,0
,439,4.0,0.04712246358394623,0.9808499813079834,0.805306077003479,0.9258213043212891,0.8547503352165222,3.820840358734131,206.0,18.278724670410156,22.146686553955078,0
,449,4.0,0.04652056097984314,0.9850999712944031,0.857947826385498,0.7744928002357483,0.8104132413864136,4.840518951416016,216.0,1.0400015115737915,5.927041053771973,0
,459,4.0,0.047464609146118164,0.9868000149726868,0.6091296672821045,0.5722430348396301,0.5867353677749634,4.294090270996094,81.0,1.5674875974655151,5.9090423583984375,0
,469,4.0,0.05865325406193733,0.9771000146865845,0.7367132306098938,0.7128530740737915,0.7241038084030151,4.081841945648193,187.0,2.6332015991210938,6.7736968994140625,0
,479,4.0,0.0496978759765625,0.9788500070571899,0.6625861525535583,0.6981003284454346,0.6784790754318237,5.454679489135742,171.0,10.56833553314209,16.072711944580078,0
,489,4.0,0.06244710087776184,0.974399983882904,0.8142893314361572,0.6676230430603027,0.7169904708862305,4.852158069610596,342.0,7.286879062652588,12.201484680175781,0
,499,4.0,0.06859241425991058,0.9768000245094299,0.8202290534973145,0.7790061831474304,0.7980771064758301,4.822621822357178,347.0,7.9634881019592285,12.85470199584961,0
,509,4.0,0.07565226405858994,0.978950023651123,0.8208694458007812,0.7489278316497803,0.780028223991394,4.2503228187561035,219.0,25.190967559814453,29.516942977905273,0
,519,4.0,0.03811263665556908,0.9866499900817871,0.9108030796051025,0.7828184366226196,0.8343809843063354,3.738210439682007,356.0,4.193009376525879,7.969332695007324,0
,529,4.0,0.04982437938451767,0.9815000295639038,0.9198126792907715,0.7393909096717834,0.8033520579338074,4.56188440322876,361.0,6.513607978820801,11.125316619873047,0
,539,4.0,0.05849536135792732,0.9767000079154968,0.7384836673736572,0.8263201713562012,0.7750308513641357,3.7930686473846436,240.0,19.399675369262695,23.251239776611328,0
,549,4.0,0.09997162222862244,0.9597499966621399,0.8030543327331543,0.7920622825622559,0.7974399328231812,4.822828769683838,427.0,9.529518127441406,14.45231819152832,0
,559,4.0,0.0755719393491745,0.9714999794960022,0.8796135187149048,0.774010181427002,0.8172963261604309,4.295812129974365,407.0,8.497262001037598,12.868646621704102,0
